topic,topic_name,count
1,"['ogr', '初入江湖的李朔', 'cliffhouse', 'suitcases', 'negotiating', 'praetorians', 'washes', 'idyllic', 'cartown', 'vulpes', 'disappointment', 'juego', 'nom', 'zugs', 'avenue', 'ghosthunter', 'hug', 'bulbs', 'cousins', 'bitmaster']",4024
2,"['ogr', '初入江湖的李朔', 'suitcases', 'vulpes', 'cliffhouse', 'juego', 'negotiating', 'cartown', '来试试', 'nom', 'washes', 'disappointment', 'carne', 'hug', 'trivial', 'namesake', 'outnumbered', 'hunting', 'ghosthunter', 'bitmaster']",5460
3,"['初入江湖的李朔', 'avenue', 'ogr', 'suitcases', 'vulpes', 'praetorians', 'nom', 'bulbs', 'cliffhouse', 'negotiating', 'cartown', 'fortiana', 'washes', 'bot', 'zugs', 'dragonkind', '被折断的蝴蝶', 'ghosthunter', 'capsul', 'outnumbered']",1309
4,"['初入江湖的李朔', 'nom', 'avenue', 'ogr', 'cartown', 'vulpes', 'negotiating', 'praetorians', '被折断的蝴蝶', 'ghosthunter', 'fortiana', 'suitcases', 'dragonkind', 'carne', 'hunting', 'washes', 'namesake', 'zugs', 'eyesight', 'disappointment']",4915
5,"['avenue', 'ogr', 'suitcases', '初入江湖的李朔', 'fortiana', 'cliffhouse', 'bot', 'bulbs', 'privy', 'vulpes', 'trivial', 'washes', 'filthiest', 'nom', 'praetorians', 'outnumbered', 'liblade', 'negotiating', 'popularity', 'fishery']",4483
6,"['ogr', 'suitcases', '初入江湖的李朔', 'trivial', 'vulpes', 'nom', 'cliffhouse', 'outnumbered', 'juego', 'avenue', 'fortiana', 'filthiest', 'negotiating', 'hunting', 'carne', '来试试', 'washes', 'disappointment', 'bot', 'dreaming']",4419
7,"['初入江湖的李朔', 'ogr', 'avenue', 'praetorians', 'suitcases', 'nom', 'negotiating', 'vulpes', 'cliffhouse', 'cartown', 'bulbs', '被折断的蝴蝶', 'washes', 'fortiana', 'zugs', 'ghosthunter', 'dragonkind', 'capsul', 'disappointment', 'liblade']",2294
8,"['avenue', '初入江湖的李朔', 'vulpes', 'nom', 'fortiana', 'ogr', 'praetorians', 'dreaming', 'bot', 'suitcases', 'coffin', 'bulbs', 'trivial', 'dragonkind', 'cartown', 'negotiating', '被折断的蝴蝶', 'outnumbered', 'hunting', 'serious']",7977
9,"['ogr', '初入江湖的李朔', 'suitcases', 'cliffhouse', 'vulpes', 'juego', 'negotiating', 'washes', '来试试', 'cartown', 'disappointment', 'nom', 'praetorians', 'idyllic', 'avenue', 'ghosthunter', 'bitmaster', 'cousins', 'zugs', 'carne']",3174
10,"['ogr', 'suitcases', '初入江湖的李朔', 'cliffhouse', 'avenue', 'vulpes', 'washes', 'negotiating', 'cartown', 'juego', 'bulbs', 'filthiest', 'idyllic', 'trivial', 'outnumbered', 'cousins', 'fishery', 'nom', 'praetorians', 'privy']",2063
