user_id,products,reviews
4062319,65,1
178088,15,1
1717670,11,1
11524616,134,1
11720757,52,2
12177445,31,1
413571,5,1
7160744,363,2
3078195,8,1
13573125,53,1
4947625,81,5
8375753,44,1
5927004,95,1
4505315,67,4
3869380,187,1
12891714,123,1
8457739,10,1
7722041,59,1
3686277,39,1
10383866,36,1
7034244,37,2
825909,11,1
1235175,120,4
11077080,1489,9
4164038,39,1
1182793,51,2
9704441,156,2
10055753,72,3
9407026,339,1
12151949,262,1
12099477,9,1
6543202,227,1
8646799,124,4
9561744,10,1
4933229,202,3
9302844,96,2
13780506,5,1
5642134,121,5
12509181,63,1
11718002,188,1
10236708,64,5
1438652,5,2
1408999,352,2
12277941,44,2
8624898,29,1
8309528,18,2
6991917,126,2
8098820,63,1
10379945,11,1
5688993,0,1
11421531,74,1
12584215,83,1
2257037,27,1
7000102,107,2
8229219,19,1
2515233,16,5
12561869,4,1
6558838,55,1
7755070,31,2
8483993,48,1
6715702,63,1
5391519,70,1
12681289,5,1
13374886,48,1
9737750,54,1
239786,217,1
7008710,25,1
6051760,9,1
6658878,64,1
7102193,124,3
2222898,90,1
5314728,123,5
11057593,25,1
5750138,121,1
4570904,399,6
8586606,12,3
11006892,19,1
13541644,99,1
3113134,10,1
7878413,12,1
13316194,34,4
11497300,57,1
4792199,166,5
12111516,8,1
1956153,32,1
7857390,30,1
10772905,96,1
8692816,57,4
10712116,208,3
6401667,15,2
13628157,982,1
12168171,73,5
10228122,9,1
5334734,163,1
5524638,123,1
5677141,95,0
4588142,4,2
4266722,189,5
6263273,36,1
1811545,10,0
1491234,42,1
5344654,50,1
11667835,113,1
10677915,166,4
7514843,163,5
13300040,50,5
12444399,28,3
1467554,38,2
4745289,36,1
3884288,14,2
8589504,252,6
3896512,87,1
7598892,32,1
2808431,25,1
88062,210,1
2492816,1589,10
4058466,368,2
11781848,326,2
1822168,44,3
4646304,447,6
13462796,17,2
13298353,20,1
13114872,2,1
5358138,82,1
8318575,52,3
8558957,43,1
11951444,27,1
11239957,520,10
4585655,33,3
1271674,29,1
6935329,33,3
6283195,106,2
11500029,337,3
5671073,26,1
1196116,297,6
3493402,68,1
3373732,3,1
8218148,38,1
5296757,91,3
13192346,17,0
3982007,248,3
10383632,17,1
2203128,26,1
10702229,630,7
3093110,41,2
7923079,26,1
7186593,78,3
7319522,49,1
13493010,212,3
2190977,6,1
9058572,71,6
5736745,193,6
4358235,34,1
5523603,56,2
6245239,93,2
8439941,133,2
10400451,139,3
9657814,19,1
6088374,120,2
5014279,30,2
3871176,7,1
10817241,279,7
12780567,1131,15
12485898,204,1
7860187,79,1
3703070,94,2
2322987,45,1
12134767,120,1
11418931,82,2
3986918,32,1
3566079,28,1
7517540,10,1
7212755,16,1
8566607,51,1
5590914,103,4
10975578,272,7
11792584,38,3
316957,36,1
12285614,75,3
3660520,19,1
13026446,154,1
4065725,17,5
33897,246,2
10170520,148,5
6120112,20,1
9604465,44,2
8350435,58,1
3905253,5,1
4292320,13,1
8888452,526,11
11023613,23,1
12256126,4,1
10672949,145,3
925055,247,1
1681187,6,1
1469197,47,1
12964561,11,1
7442176,132,5
192782,42,1
8521003,111,1
12522727,243,1
457739,42,1
11595718,37,1
7647629,86,4
5085734,43,1
7331072,66,3
4522315,15,1
4386135,86,1
10897739,105,4
13617398,62,2
11382572,366,2
8452000,62,1
3107767,2,1
5699352,42,3
11550761,6,0
8073533,89,1
9297564,57,4
3958216,36,1
2372015,41,1
5009508,49,1
3846007,16,1
7605370,96,1
46255,2,1
12509238,28,1
7648947,98,3
12151341,116,1
1146979,111,4
1454505,70,3
11592636,55,1
12445725,265,2
458273,47,3
3622737,46,1
9710943,23,1
9533167,168,1
7669691,288,11
4474812,27,0
13119977,214,9
11434098,158,2
963932,54,0
9257287,17,0
9935859,149,1
12611214,290,2
8100511,862,5
7588377,81,3
8747035,245,2
454970,4,2
9329228,94,2
5243350,383,2
11675722,24,1
3950070,2,1
8933667,111,4
11123571,138,6
13337271,36,1
12939578,6,1
11190295,65,1
3367107,7,1
4789597,151,1
9744381,42,6
7681665,132,4
10607495,69,6
8654692,35,3
8999941,101,3
10222446,33,1
9742659,26,1
6933491,78,1
4562052,15,1
10786365,750,5
13232068,5,1
13325941,51,1
5219352,41,1
8583074,4,1
13779541,274,16
1947649,28,1
4967532,52,1
10509105,140,3
9559615,20,1
534551,393,1
2113235,19,1
5223224,109,1
12073562,131,1
6696047,63,6
12825427,5,2
3372352,28,2
2826338,25,1
3994134,17,1
2611339,13,1
11109932,115,2
8893944,53,1
10649638,43,2
6588768,23,1
7072712,44,1
11512492,51,1
11845539,8,1
2640014,8,1
5965141,66,2
8889741,17,1
4915719,77,3
8513889,242,1
12435221,129,3
10088698,75,1
4491574,5,0
13086302,37,1
8885847,47,2
2114775,189,34
11495917,129,2
12051080,6,1
9392022,105,5
7738520,135,3
8265573,358,3
8375126,199,2
7884907,81,1
685449,162,4
4695469,44,3
5675183,49,1
1202130,52,0
1704982,9,2
3765679,35,1
7035396,14,1
1810672,34,1
7210933,196,1
4761891,355,5
5093412,2,1
6212217,43,1
6816637,23,2
8051309,126,6
2149135,16,1
1679400,47,1
4072944,156,1
1835659,13,5
13355591,130,4
11720530,304,12
8381502,63,2
13242195,13,1
13346297,87,4
10406233,73,1
3651490,74,0
1673269,2,1
1618746,4,1
10317133,9,1
2750820,113,1
4069607,82,6
11846768,41,1
2933401,20,5
1181243,108,6
6139404,13,1
1430285,58,1
1773919,29,2
467305,19,1
3827610,48,1
1456018,8,1
5045921,87,1
13458497,50,1
3111519,232,12
7430595,16,1
9380369,0,1
10413426,18,1
5832070,96,11
11815680,29,1
11315504,32,0
182641,13,1
9431235,120,4
10509185,6,0
9537847,31,1
6379095,127,6
6983913,81,3
7113289,153,1
8451920,162,6
7987481,46,1
11215120,166,2
295401,81,8
10685823,27,4
6820553,394,1
4648753,11,0
10017878,51,1
236860,379,1
1159910,17,1
8952341,16,1
10139765,46,1
2338091,12,1
8914293,154,1
524446,8,1
4777095,236,1
6222081,31,2
6780685,152,44
10979690,318,2
5658096,158,5
11823519,18,4
10141362,15,2
12673677,17,2
3351573,85,2
1805767,24,1
9723828,55,11
5829247,98,1
2717339,115,4
1107575,87,1
8296822,77,18
4531333,237,1
943551,67,1
7081528,57,1
13714547,51,1
8241650,69,1
2760537,13,4
56628,10,1
8747583,21,3
12100720,107,21
8492345,17,2
5675920,118,1
13256306,253,8
12989887,8,2
3863268,25,1
6885480,111,3
3724863,42,1
1699199,21,1
3933144,410,7
13314159,52,1
3985871,149,1
3688293,34,1
7776470,43,1
2661981,13,5
4888341,439,4
8911501,96,1
7700554,1012,63
10652329,84,7
7619119,36,1
6654368,198,1
9043549,135,4
266213,29,1
10767850,78,1
1063374,111,2
4456004,741,4
9794698,523,2
5573547,119,3
10793262,10,1
5512864,67,1
295711,50,5
7692284,32,1
8088792,729,11
9269030,237,1
9646757,35,2
12865482,6,1
4067805,10,1
3544599,19,2
5903002,29,1
12179241,181,2
4805758,21,3
11617506,13,1
11909907,36,1
3479230,7,0
629561,34,1
10436196,58,1
12338836,138,2
3072429,94,3
5156612,82,1
3557902,69,1
12244001,16,2
6807193,36,2
8705719,24,1
11913481,23,1
9830592,28,1
8145171,144,4
154676,22,1
5415288,173,2
12371960,12,1
8950013,214,5
12894512,6,1
9474646,33,1
7701156,42,1
7603570,43,1
7710564,14,3
334790,269,1
8553095,13,1
5983788,58,4
6338190,57,1
13737374,76,1
10979294,134,4
13213242,2,1
3146371,50,0
6127934,1009,1
6927235,82,1
4127230,13,1
11075255,245,5
7584864,49,2
9509527,122,1
1992445,66,1
3590813,76,2
10864712,47,1
3801384,17,0
1135370,39,1
9954802,3,1
7023478,57,0
3943978,747,1
7027314,28,1
2488486,8,1
1362065,43,2
12037692,53,2
7665942,80,2
3136838,31,2
12630824,8,1
8894826,19,1
5775751,112,0
7663484,101,2
10796589,138,4
1142688,9,1
4897834,415,1
2371762,64,0
12295590,96,1
11488248,106,1
4966147,321,7
11053090,103,1
3489669,4,0
7219283,573,3
12489592,23,4
9016270,20,1
1462582,2,1
11110356,15,2
3571791,10,1
13265232,16,2
5144976,277,1
13007645,2,1
6331875,59,2
8464393,12,1
3868962,17,1
9503266,29,2
6184984,73,1
4683643,229,1
6090187,66,1
8300504,52,1
10602885,24,4
7055148,100,1
7023122,123,1
12822752,6,1
11070929,605,3
13367706,12,4
6749548,229,1
12491656,100,5
5618027,1178,3
5392783,249,0
4081713,57,1
9804681,21,1
2197648,111,3
7731503,262,1
3092566,12,1
3410857,109,3
1865452,75,2
6901831,52,3
4954372,262,3
7231221,33,1
1839245,9,1
1516684,105,5
3797003,9,1
13499680,484,16
11356524,0,2
2638817,0,1
4170684,277,1
12975311,60,2
7707114,123,1
786914,52,2
8113618,88,1
5728619,65,1
7431969,72,9
9430681,113,4
6303417,160,1
5164572,100,1
1361474,322,1
11405724,176,3
13671246,277,2
12602754,116,8
497882,58,1
13484223,37,1
5729988,9,1
1267514,93,2
1819023,86,1
12546260,138,1
8906818,41,1
2931141,3,0
8551266,28,1
9241212,100,3
2046267,42,1
12213049,3,1
3626084,0,1
13069461,17,1
12619669,101,6
7972072,4,1
2197184,15,1
7693847,83,3
8900149,143,1
4930021,150,1
1770656,175,3
11769447,5,1
5849841,312,2
11480961,17,2
12925877,14,2
12662426,83,1
13090004,233,3
12594623,29,1
4102177,33,10
13070548,88,3
4860450,371,3
5339303,110,1
496786,24,1
13440001,9,1
5816234,40,1
4488251,20,2
6004782,192,1
8517998,37,1
9724671,30,1
9175306,30,1
11686926,304,1
6041372,48,1
9837936,11,2
1992388,14,1
5897682,189,2
7696592,69,2
5107047,36,1
3629711,3,1
9516419,56,1
8773465,91,1
3298179,20,1
2927424,113,0
12227816,40,1
5394294,103,3
12545972,46,2
9139311,5,1
13501502,9,1
2513335,413,3
12276995,11,1
1173915,35,1
322974,77,1
7914551,75,2
4892211,30,1
7077186,180,1
236312,50,8
10093222,156,1
3138253,400,1
8772646,67,1
3278880,0,0
1594366,39,1
13337810,418,10
11323689,107,1
9508814,14,1
7781435,62,1
5338091,63,2
9526050,56,1
93304,15,4
12085520,9,1
11618638,390,1
1442525,11,3
11599115,52,0
3988325,18,1
11789285,3,1
6488447,111,2
1141016,311,2
5984948,286,1
9989209,17,1
10048311,53,0
727756,11,1
1664962,44,3
6067514,9,1
7648936,143,1
8322527,80,9
8301246,27,1
7029671,154,9
3157817,222,2
11086584,5,1
1308197,13,1
10040364,23,1
2364305,57,2
2513375,138,1
8046231,150,5
13341066,108,2
13530607,148,2
10758182,933,3
7805615,53,1
9742485,128,1
4940699,332,2
721531,21,1
8375936,111,2
8993338,21,2
6071808,119,10
13571082,215,1
11063824,208,8
3732764,0,1
8491555,17,1
12790697,73,1
8985589,35,3
7674452,73,2
2940819,33,1
11259183,84,2
9457825,67,5
6641935,36,1
4159202,154,3
10295848,72,9
6190749,57,1
664040,11,0
12290536,52,3
3458563,4,1
11992554,31,7
263657,110,1
10158122,168,6
5707453,141,8
10931028,147,4
5578934,32,1
288899,22,1
10926908,177,2
11807243,50,1
8057598,147,5
3694351,318,3
11878608,95,2
6177295,4,1
7739246,15,1
9349281,125,2
13783392,58,1
12090173,54,3
4865457,20,1
1056399,31,1
10321408,3,1
6434934,23,1
7316780,88,5
13673061,227,18
1230997,66,1
32478,381,12
9137545,160,1
3562919,259,3
27869,363,9
572067,19,1
